Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays.1,Yds,Start,Time,Pts,Year
11,Los Angeles Rams,16,185,1088,35.7,13.0,5.9,32.3,Own 28.3,2:31,1.98,2019
12,Detroit Lions,16,183,1052,33.3,12.0,5.7,30.3,Own 28.6,2:33,1.77,2019
13,San Francisco 49ers,16,183,1051,44.3,12.0,5.7,33.1,Own 32.1,2:46,2.44,2019
14,Cleveland Browns,16,183,1002,33.9,14.8,5.5,29.7,Own 29.3,2:36,1.83,2019
15,Miami Dolphins,16,182,1052,30.2,13.7,5.8,27.1,Own 27.7,2:32,1.61,2019
16,Cincinnati Bengals,16,181,1080,29.8,15.5,6.0,28.5,Own 28.0,2:37,1.49,2019
17,Arizona Cardinals,16,178,1035,38.8,10.1,5.8,30.6,Own 27.7,2:29,2.02,2019
18,Green Bay Packers,16,177,1044,37.3,6.8,5.9,31.2,Own 34.1,2:51,2.11,2019
19,Jacksonville Jaguars,16,177,1054,33.9,10.2,6.0,30.9,Own 25.9,2:45,1.63,2019
20,Washington Commanders,16,176,912,29.5,11.9,5.2,25.0,Own 28.3,2:28,1.50,2019
21,Dallas Cowboys,16,175,1109,44.6,10.3,6.3,39.4,Own 26.3,2:42,2.43,2019
22,Chicago Bears,16,175,1048,29.1,10.3,6.0,27.2,Own 28.5,2:46,1.51,2019
23,Atlanta Falcons,16,174,1136,40.8,13.2,6.5,34.9,Own 28.7,2:51,2.12,2019
24,New Orleans Saints,16,173,1047,46.2,4.0,6.1,34.6,Own 33.7,2:59,2.50,2019
25,Minnesota Vikings,16,173,999,41.6,10.4,5.8,32.6,Own 29.6,2:40,2.29,2019
26,Denver Broncos,16,173,988,32.4,9.2,5.7,27.6,Own 27.6,2:43,1.60,2019
27,Houston Texans,16,169,1042,37.9,12.4,6.2,34.2,Own 28.8,2:51,2.18,2019
28,Indianapolis Colts,16,168,1047,36.3,11.3,6.2,31.1,Own 27.8,2:52,2.02,2019
29,Baltimore Ravens,16,166,1093,51.8,8.4,6.6,39.3,Own 29.1,3:21,2.95,2019
30,Las Vegas Raiders,16,165,1015,32.7,9.7,6.2,35.1,Own 27.2,3:00,1.83,2019
31,Kansas City Chiefs,16,164,1014,48.8,7.9,6.2,37.0,Own 28.8,2:52,2.59,2019
32,Los Angeles Chargers,16,160,1031,38.8,18.1,6.4,36.6,Own 26.3,3:05,2.06,2019
1,Cleveland Browns,16,202,1053,31.2,11.4,5.2,29.2,Own 28.5,2:20,1.81,2018
2,New York Jets,16,197,1015,32.0,14.7,5.2,24.2,Own 30.7,2:22,1.57,2018
3,Buffalo Bills,16,193,1056,26.4,15.5,5.5,24.6,Own 29.7,2:32,1.39,2018
4,Minnesota Vikings,16,188,1037,32.4,10.6,5.5,29.2,Own 30.3,2:31,1.80,2018
5,Arizona Cardinals,16,187,923,19.3,15.0,4.9,20.6,Own 28.0,2:16,1.09,2018
6,Denver Broncos,16,186,1048,30.6,11.3,5.6,30.1,Own 27.8,2:30,1.72,2018
7,Houston Texans,16,186,1086,40.3,8.1,5.8,31.1,Own 31.3,2:39,2.03,2018
8,Tampa Bay Buccaneers,16,184,1083,37.0,19.0,5.9,36.0,Own 26.2,2:39,2.15,2018
9,New England Patriots,16,184,1114,40.8,9.2,6.1,34.2,Own 29.9,2:42,2.27,2018
10,Miami Dolphins,16,184,905,28.3,12.5,4.9,25.0,Own 29.4,2:27,1.59,2018
11,Los Angeles Rams,16,183,1105,48.6,9.8,6.0,36.7,Own 30.4,2:41,2.66,2018
12,Chicago Bears,16,182,1049,36.8,13.2,5.8,30.1,Own 30.4,2:51,2.07,2018
13,Pittsburgh Steelers,16,182,1079,36.8,14.3,5.9,35.5,Own 26.0,2:44,2.23,2018
14,Indianapolis Colts,16,182,1100,41.2,13.2,6.0,33.9,Own 29.8,2:39,2.38,2018
15,San Francisco 49ers,16,181,1036,37.0,17.1,5.7,31.8,Own 26.2,2:39,1.86,2018
