Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Year
23,Las Vegas Raiders,16,25,291,1,99,11.6,29,663,0,34,22.9,6639,2018
24,Seattle Seahawks,16,25,143,0,19,5.7,29,669,0,84,23.1,6820,2018
25,Carolina Panthers,16,24,165,0,30,6.9,26,582,0,37,22.4,6954,2018
26,New Orleans Saints,16,24,157,0,17,6.5,23,560,0,50,24.3,6916,2018
27,Indianapolis Colts,16,24,217,0,51,9.0,17,337,0,29,19.8,6867,2018
28,Cincinnati Bengals,16,22,236,0,38,10.7,43,1071,0,77,24.9,6558,2018
29,Kansas City Chiefs,16,22,261,1,91,11.9,40,975,0,97,24.4,8217,2018
30,Atlanta Falcons,16,21,147,0,18,7.0,31,689,0,53,22.2,7358,2018
31,Dallas Cowboys,16,21,119,0,22,5.7,13,283,0,35,21.8,6250,2018
32,Washington Commanders,16,17,110,0,30,6.5,29,570,0,44,19.7,5741,2018
