Rk,Tm,G,Pnt,Yds,Y/P,Blck,Year
20,Houston Texans,16,80,3732,46.7,1,2018
21,Detroit Lions,16,68,3078,45.3,0,2018
22,Minnesota Vikings,16,76,3431,45.1,0,2018
23,Tennessee Titans,16,71,3276,46.1,0,2018
24,Washington Commanders,16,58,2660,45.9,0,2018
25,Seattle Seahawks,16,66,2961,44.9,0,2018
26,New York Jets,16,79,3410,43.2,1,2018
27,Buffalo Bills,16,80,3555,44.4,0,2018
28,Denver Broncos,16,73,3347,45.8,1,2018
29,Jacksonville Jaguars,16,79,3792,48.0,0,2018
30,Cleveland Browns,16,71,3093,43.6,0,2018
31,Miami Dolphins,16,55,2326,42.3,1,2018
32,Arizona Cardinals,16,80,3638,45.5,1,2018
